Asset Group,Issue Description,Target Resolution Time,Target Resolution Date & Time,Target Duration (Hours),Actual Response Date & Time,Actual Resolution Date & Time,Actual Duration (Minutes),Actual Operation Time(Minutes),Technicians Count,Owning Department,Work Order Department,Status,Priority,Location,Life & Safety Asset,Failure Code,Cause Code,MaintenanceType
AIR HANDLING UNIT-05,AC TOO HOT RCTA,,2022-05-23 08:15:26,24,2022-05-22 07:20:00,2022-05-22 13:15:00,355.0,65.0,2,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TOO HOT,CM
AIR HANDLING UNIT-05,AC TOO COLD - HEAVY MIST ON GLASS AFFECTING VISIBILITY. ROOM 2136(TAG NO: A5-01-01 (RAMP CONTROL TOWER))-AIRSIDE-CONCOURSE A-FIFTH FLOOR AREA 01,,2022-06-20 00:26:24,24,2022-06-18 23:30:00,2022-06-18 23:59:00,29.0,29.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TOO COLD,CM
AIR HANDLING UNIT-05,RAMP CONTROL TOWER -A - AC IS TOO COLD-,,2022-02-11 22:25:51,24,2022-02-10 21:30:00,2022-02-11 01:00:00,210.0,65.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TEMP COLD IN SERVING AREA,CM
AIR HANDLING UNIT-05,DP1 FILTER ALARM AHU-A1121-701-AIRSIDE-CONCOURSE A-APRON CONTROL TOWER,,2022-03-11 17:07:01,24,2022-03-10 16:10:00,2022-03-10 18:15:00,125.0,375.0,3,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,"AC TOO HOT – RCT A,",,2022-06-14 06:25:38,24,2022-06-13 05:30:00,2022-06-13 06:50:00,80.0,25.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TOO HOT,CM
AIR HANDLING UNIT-05,AC TOO COLD - RCT A,,2022-11-03 05:52:44,24,2022-11-02 05:00:00,2022-11-02 06:40:00,100.0,35.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TOO COLD,CM
AIR HANDLING UNIT-05,RCTA AC IS TOO COLD,,2022-12-17 22:47:18,24,2022-12-16 21:57:00,2022-12-16 22:57:00,60.0,60.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TOO COLD,CM
AIR HANDLING UNIT-05,AHU HEATER NOT WORKING  -- TAG NO:AHU-A1121-702)-AIRSIDE-CONCOURSE A-APRON CONTROL TOWER,,2023-12-28 13:54:03,24,2023-12-27 13:04:00,2023-12-27 18:00:00,296.0,335.0,2,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,CONTACTOR FAULTY,CM
AIR HANDLING UNIT-05,TEMPERATURE IS TOO HOT IN THE TOWER -RCT A,,2024-02-04 11:31:02,24,2024-02-03 10:40:00,2024-02-03 16:45:00,365.0,65.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,CONTACTOR FAULTY,CM
AIR HANDLING UNIT-05,AC TOO COLD - A5-01-01 (RAMP CONTROL TOWER - CM-2022-02-0553,,2022-03-14 23:37:53,24,2022-03-13 22:45:00,2022-03-13 23:45:00,60.0,60.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TEMP COLD IN SERVING AREA,CM
AIR HANDLING UNIT-05,AC TOO COLD - ROOM 2136(TAG NO: A5-01-01 (RAMP CONTROL TOWER))-AIRSIDE-CONCOURSE A-FIFTH FLOOR AREA 01,,2022-06-19 00:06:42,24,2022-06-17 23:10:00,2022-06-18 00:30:00,80.0,30.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TEMP COLD IN SERVING AREA,CM
AIR HANDLING UNIT-05,A/C IS TOO HOT A6-01-01,,2022-07-01 06:10:09,24,2022-06-30 05:15:00,2022-06-30 06:15:00,60.0,60.0,1,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,NOT WORKING,TEMP HOT  IN SERVING AREA,CM
AIR HANDLING UNIT-05,AHU-A1121-702-ABNOMRL SOUND FROM AHU (APRON CONTROL TOWER),,2023-10-12 08:22:22,24,2023-10-11 07:30:00,2023-10-11 15:00:00,450.0,620.0,3,HVAC,,Closed,Normal,APRON CONTROL TOWER,N,DAMAGED,BEARING DAMAGE,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED -AB-04-09,,2022-12-25 09:07:55,24,2022-12-24 08:15:00,2022-12-24 11:00:00,165.0,330.0,2,HVAC,,Closed,Normal,BASEMENT AREA 004,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED,,2023-05-28 20:30:13,24,2023-05-27 19:40:00,2023-05-27 22:40:00,180.0,360.0,2,HVAC,,Closed,Normal,BASEMENT AREA 004,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,MARINE LIGHT NOT WORKING – AB-04-09,,2022-11-07 23:27:07,24,2022-11-06 22:30:00,2022-11-06 23:55:00,85.0,170.0,2,HVAC,,Closed,Normal,BASEMENT AREA 004,N,DAMAGED,PARTS DAMAGED,CM
AIR HANDLING UNIT-05,AHU CABIN LAMP NOT WORKING – AB-04-09,,2023-07-14 04:33:47,24,2023-07-13 03:40:00,2023-07-13 05:39:00,119.0,238.0,2,HVAC,,Closed,Normal,BASEMENT AREA 004,N,DAMAGED,PARTS DAMAGED,CM
AIR HANDLING UNIT-05,"AHU FILTER DIRTY, AHU-A1155-B01, AB-04-09",,2023-11-06 13:39:41,24,2023-11-05 12:45:00,2023-11-05 17:30:00,285.0,440.0,3,HVAC,,Closed,Normal,BASEMENT AREA 004,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1155-B01 FILTER ALARM AB-04-09,,2022-07-28 21:04:21,24,2022-07-27 20:12:00,2022-07-27 21:15:00,63.0,126.0,2,HVAC,,Closed,Normal,BASEMENT AREA 004,N,NOISY,ABNORMAL VIBRATION OF EQUIPMENT DUE TO LOOSE PART OR SYSTEM COMPONENT,CM
AIR HANDLING UNIT-05,"DP1 FILTER STATUS - PROJECT8.APPLICATIONVIEW:APPLICATIONVIEW.GRAPHICS.PTC-A1155-INBOUNDBAGGAGESCREENINGFACILITY-CONA.AHU-A1155-B01 / 							
",,2023-09-24 21:18:16,24,2023-09-23 20:25:00,2023-09-23 22:25:00,120.0,360.0,3,HVAC,,Closed,Normal,BASEMENT AREA 004,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,DP3 FILTER ALARM AHU-A1155-B01 AB-04-09,,2022-04-12 09:42:17,24,2022-04-11 08:50:00,2022-04-11 16:30:00,460.0,305.0,4,HVAC,,Closed,Normal,BASEMENT AREA 004,N,DAMAGED,PARTS DAMAGED,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED - AB-04-09,,2023-01-29 21:23:51,24,2023-01-28 20:30:00,2023-01-28 22:30:00,120.0,360.0,3,HVAC,,Closed,Normal,BASEMENT AREA 004,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1121-003 ;COOLING COIL DIRTY – AG-01-08,,2022-01-29 02:14:46,24,2022-01-28 01:20:00,2022-01-28 05:10:00,230.0,580.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,COOILING COIL DIRTY,,2022-04-24 11:06:42,24,2022-04-23 10:20:00,2022-04-23 15:15:00,295.0,660.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,AC TOO HOT - ROOM NUMBER AG-01-13 CONCOURSE A-GROUND FLOOR AREA 001 (CONTACT REQUESTOR TO CONFIRM  RESOLUTION).,,2022-06-03 08:28:54,24,2022-06-02 07:35:00,2022-06-02 18:00:00,625.0,60.0,1,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOT WORKING,TEMP HOT  IN SERVING AREA,CM
AIR HANDLING UNIT-05,FILTER IS DIRTY - AHU-A1121-003 – AG-01-08,,2022-07-15 19:58:30,24,2022-07-14 19:00:00,2022-07-14 21:00:00,120.0,360.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AIR FILTER IS BLOCKED,,2022-09-26 11:49:33,24,2022-09-25 10:59:00,2022-09-25 12:00:00,61.0,122.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,BLOCKED,DRAIN CLOGGED,CM
AIR HANDLING UNIT-05,AHU-A1121-003 – CHILLED WATER LINE PAINT FADED– AG-01-08-,,2022-10-22 20:31:57,24,2022-10-21 19:40:00,2022-10-21 22:40:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,COOLING COIL IS DIRTY,,2022-10-26 08:48:49,24,2022-10-25 07:55:00,2022-10-25 12:30:00,275.0,550.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,SUPPLY DUCT CONVERSE AIR LEAKAGE,,2022-12-25 03:18:27,24,2022-12-24 02:30:00,2022-12-24 05:30:00,180.0,720.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,WATER LEAKAGE,BLOCKED DRAIN LINE,CM
AIR HANDLING UNIT-05,AHU-A1121-003 CHILLED WATER LINE PAINT PILLED OFF,,2023-01-13 03:11:46,24,2023-01-12 02:20:00,2023-01-12 05:20:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,CABIN LAMB NOT WORKING-CONCOURSE A-GROUND FLOOR AREA 001,,2023-06-05 15:35:00,24,2023-06-04 14:45:00,2023-06-04 17:10:00,145.0,243.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOT WORKING,CIRCUIT TRIP DUE TO OVERLOAD,CM
AIR HANDLING UNIT-05,AHU-A1121-003 DRAIN LINE PIT DIRTY AG-01-08,,2023-07-14 09:56:16,24,2023-07-13 09:00:00,2023-07-13 11:30:00,150.0,300.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1121-003 SUPPLY DUCT INSULATION DAMAGED AG-01-08,,2023-08-26 01:06:24,24,2023-08-25 00:15:00,2023-08-25 02:30:00,135.0,270.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,AG-01-08- DUCT INSULATION DAMAGED-AIR HANDLING UNIT 065 (TAG NO:AHU-A1121-003-CONCOURSE A-GROUND FLOOR AREA 001,,2023-11-04 04:04:21,24,2023-11-03 03:10:00,2023-11-03 05:00:00,110.0,330.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,FILTER DIRTY – (AHU-A1121-003) – AG 01 08,,2023-12-19 08:27:14,24,2023-12-18 07:35:00,2023-12-18 10:30:00,175.0,350.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,AIR FILTER DAMAGED,CM
AIR HANDLING UNIT-05,AHU-A1121-003 – DP3 FILTER ALARM--,,2022-09-30 03:18:56,24,2022-09-29 02:25:00,2022-09-29 03:55:00,90.0,270.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,AIR FILTER DAMAGED,CM
AIR HANDLING UNIT-05,AHU NOISY,,2023-04-28 09:35:31,24,2023-04-27 08:40:00,2023-04-27 18:30:00,590.0,785.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOISY,LOOSE MOUNTING,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT  FADED AG-01-08,,2023-05-29 22:47:38,24,2023-05-28 21:55:00,2023-05-28 23:55:00,120.0,240.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOT WORKING,CHILLED WATER VALVE NOT WORKING,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED AG-01-08,,2023-08-25 14:20:04,24,2023-08-24 13:30:00,2023-08-24 16:00:00,150.0,450.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,FILTER DIRTY-AG-01-08,,2023-09-19 07:59:41,24,2023-09-18 07:05:00,2023-09-18 10:00:00,175.0,115.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,FLEXIBLE HOSE DAMAGE : -AIR HANDLING UNIT 065 (TAG NO:AHU-A1121-003)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 001,,2023-11-02 14:34:28,24,2023-11-01 13:44:00,2023-11-01 15:44:00,120.0,240.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,PARTS DAMAGED,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY,,2022-08-21 21:14:50,24,2022-08-20 20:20:00,2022-08-20 23:30:00,190.0,570.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED AHU-A1121-003,,2022-08-22 22:27:40,24,2022-08-21 21:35:00,2022-08-21 23:50:00,135.0,270.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,CHILLED WATER ACTUATOR DAMAGE,CM
AIR HANDLING UNIT-05,AHU FILTER DIRTY AG-01-08,,2022-10-06 11:02:17,24,2022-10-05 10:10:00,2022-10-05 18:20:00,490.0,180.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,"DUCT INSOLATION DAMAGED,AHU-A1121-003, AG-01-08",,2024-01-28 23:06:08,24,2024-01-27 22:10:00,2024-01-27 23:58:00,108.0,216.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,INSULATION DAMAGED,CM
AIR HANDLING UNIT-05,"AHU CABIN LIGHT SWITCH FAULTY, AHU-A1121-003, AG-01-08",,2024-02-29 20:07:11,24,2024-02-28 19:17:00,2024-02-28 22:15:00,178.0,356.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOT WORKING,SENSOR FAILURE,CM
AIR HANDLING UNIT-05,DP2 FILTER ALARM,,2023-12-30 04:07:20,24,2023-12-29 03:15:00,2023-12-29 04:15:00,60.0,120.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,FILTER ALARM STATUS - AHU-A1121-003 - MECHANICAL ROOM AG-01-08 - PROJECT8.APPLICATIONVIEW:APPLICATIONVIEW.GRAPHICS.PTC-A1121-CONCOURSEA.AHU-A1121-003-CPMS /,,2023-10-28 11:07:08,24,2023-10-27 10:15:00,2023-10-27 12:15:00,120.0,240.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,AHU FILTER IS DIRTY - AHU-A1121-003 – AG-01-08,,2022-03-07 11:53:15,24,2022-03-06 11:03:00,2022-03-06 13:30:00,147.0,441.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1121-003 RETURN ACCESS DOOR LEAKAGE,,2022-01-02 23:06:39,24,2022-01-01 22:15:00,2022-01-01 23:40:00,85.0,170.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,LEAKAGE,AIR LEAKAGE,CM
AIR HANDLING UNIT-05,AHU-A1121-003 – COOLING COIL DIRTY,,2022-10-30 20:13:21,24,2022-10-29 19:20:00,2022-10-29 23:20:00,240.0,960.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED - AHU-A1121-003 – AG-01-08,,2022-03-02 20:42:28,24,2022-03-01 19:50:00,2022-03-01 21:50:00,120.0,240.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,ABNORMAL VIBRATION OF EQUIPMENT DUE TO LOOSE PART OR SYSTEM COMPONENT,CM
AIR HANDLING UNIT-05,FILTER ALARM AHU-A1121-003,,2023-02-23 12:08:23,24,2023-02-22 11:13:00,2023-02-22 14:00:00,167.0,352.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,"Beside LaVita Café,In Front of Women Washroom(A1 02 18)  damaged/bend Return Air Grills/misaligned/missing

",,2023-09-07 14:53:11,24,2023-09-06 14:00:00,2023-09-06 16:30:00,150.0,185.0,1,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,LOOSE,DUCT SUPPORT LOOSE,CM
AIR HANDLING UNIT-05,AHU-A1121-004 RETURN MOTOR NOISY,,2022-06-16 12:40:05,24,2022-06-15 11:50:00,2022-06-15 18:29:00,399.0,542.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOISY,BEARING PROBLEM,CM
AIR HANDLING UNIT-05,AHU-A1121-004- CHILLED WATER LINE PAINT FADED – AG-01-08- -,,2022-10-22 20:32:34,24,2022-10-21 19:40:00,2022-10-21 22:40:00,180.0,360.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,ACCIDENT DUE TO MISHANDLING,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED,,2023-03-01 22:07:30,24,2023-02-28 21:15:00,2023-02-28 23:15:00,120.0,240.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,AHU-A1121-004)-NOISY -CONCOURSE A-GROUND FLOOR AREA 001,,2023-04-27 09:33:33,24,2023-04-26 08:45:00,2023-04-26 13:00:00,255.0,1020.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOISY,BEARING PROBLEM,CM
AIR HANDLING UNIT-05,DRAIN LINE PIT DIRTY -AIR HANDLING UNIT 066 (TAG NO:AHU-A1121-004)-CONCOURSE A-GROUND FLOOR AREA 001,,2023-07-27 09:11:14,24,2023-07-26 08:15:00,2023-07-26 13:45:00,330.0,245.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,DUST ACCUMULATION,CM
AIR HANDLING UNIT-05,AHU COIL IS DIRTY - AG-01-08,,2022-09-14 20:17:00,24,2022-09-13 19:25:00,2022-09-13 22:25:00,180.0,720.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,COOLING COIL DIRTY,CM
AIR HANDLING UNIT-05,AHU-A1121-003 – DP3 FILTER ALARM--,,2022-09-30 03:20:17,24,2022-09-29 02:28:00,2022-09-29 05:00:00,152.0,187.0,4,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,CHILL WATER LINE PIPE PAINT FADED - AHU-A1121-004 – MECHANICAL ROOM AG-01-08,,2023-05-30 22:14:38,24,2023-05-29 21:25:00,2023-05-29 23:25:00,120.0,360.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,DRAIN LINE DAMAGED,CM
AIR HANDLING UNIT-05,CHILLED WATER LINE PAINT FADED AG-01-08,,2023-08-25 14:18:54,24,2023-08-24 13:25:00,2023-08-24 16:00:00,155.0,465.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,CHILLED WATER LINE INSULATION PAINT FADED,CM
AIR HANDLING UNIT-05,DUCT INSULATION DAMAGED - AHU-A1121-004 – AG-01-08,,2023-09-14 21:26:06,24,2023-09-13 20:35:00,2023-09-13 23:30:00,175.0,350.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,AIR DUCT CANVASS DAMAGED,CM
AIR HANDLING UNIT-05,DP 1 FILTER ALARAM  -  AIR HANDLING UNIT 066 (TAG NO:AHU-A1121-004)-AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 001,,2023-10-15 19:54:53,24,2023-10-14 19:00:00,2023-10-14 21:00:00,120.0,360.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,COOLING COIL DIRTY  - AHU-A1121-004,,2022-09-18 13:09:52,24,2022-09-17 12:15:00,2022-09-17 16:00:00,225.0,675.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU FILTER DIRTY AG-01-08,,2022-10-06 11:01:12,24,2022-10-05 10:10:00,2022-10-05 16:50:00,400.0,190.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AHU FILTER DIRTY - AIRSIDE-CONCOURSE A-GROUND FLOOR AREA 001,,2022-12-24 08:36:29,24,2022-12-23 07:45:00,2022-12-23 13:00:00,315.0,500.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,AIR HANDLING UNIT-RETURN SIDE DUCT CANVAS AIR LEAKAGE -AG-01- 08,,2022-12-29 20:31:07,24,2022-12-28 19:40:00,2022-12-28 23:00:00,200.0,545.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,LEAKAGE,AIR LEAKAGE,CM
AIR HANDLING UNIT-05, RELIEF BLOWER NOISY – AG-01-08,,2023-02-13 12:46:28,24,2023-02-12 11:50:00,2023-02-12 17:15:00,325.0,365.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOISY,ABNORMAL VIBRATION OF EQUIPMENT DUE TO LOOSE PART OR SYSTEM COMPONENT,CM
AIR HANDLING UNIT-05,"AC TOO HOT INSIDE WASH ROOM , FFL2  MALE WASH ROOM",,2023-05-07 08:16:49,24,2023-05-06 07:25:00,2023-05-06 17:00:00,575.0,60.0,1,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,NOT WORKING,TEMP HOT  IN SERVING AREA,CM
AIR HANDLING UNIT-05,"DP1-A FINAL FILTER STATUS - MECHANICAL ROOM AG-01-08
(AHU-A1121-004)
PROJECT8.LOGICALVIEW:LOGICAL.BAC3.A1121.GNDP1.CONA04.AHU004.SYSALM.DP1A /",,2023-06-13 16:42:53,24,2023-06-12 15:50:00,2023-06-12 18:30:00,160.0,480.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,WARNING,FILTER STATUS ALARM,CM
AIR HANDLING UNIT-05,AIR FILTER DIRTY -AIR HANDLING UNIT 066 (TAG NO:AHU-A1121-004)-AG-01-08,,2024-04-08 10:26:02,24,2024-04-07 09:35:00,2024-04-07 14:00:00,265.0,440.0,3,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DIRTY,AIR FILTER IS DIRTY,CM
AIR HANDLING UNIT-05,"DUCT INSOLATION DAMAGED, AHU-A1121-004, AG-01-08",,2024-01-28 23:06:16,24,2024-01-27 22:10:00,2024-01-27 23:58:00,108.0,216.0,2,HVAC,,Closed,Normal,GROUND FLOOR AREA 001,N,DAMAGED,INSULATION DAMAGED,CM
